Designator,Mid X,Mid Y,Rotation,Layer
BT1,132.675,-61.5,180.0,top
C10,122.265,-86.96,180.0,top
C11,126.625,-69.45,180.0,top
C12,130.625,-69.45,180.0,top
C13,117.7,-82.0,0.0,top
C15,137.0,-72.0,180.0,top
C6,132.54,-86.46,180.0,top
C7,132.54,-87.96,0.0,top
C8,122.265,-89.0,180.0,top
C9,132.54,-84.96,180.0,top
J2,113.0,-77.325,270.0,top
J3,122.325,-61.5,180.0,top
J4,132.809384,-93.609644,0.0,top
J5,141.0,-76.825,90.0,top
J6,120.933976,-93.586374,0.0,top
L2,127.19,-89.96,180.0,top
Q1,124.0625,-66.05,0.0,top
R1,122.763048,-85.028483,0.0,top
R3,122.765,-84.0,180.0,top
R4,122.765,-83.0,0.0,top
R5,127.125,-64.45,0.0,top
R6,118.2,-83.99,270.0,top
R7,117.2,-83.99,270.0,top
U2,127.415,-86.21,90.0,top
U3,129.1975,-66.96,0.0,top
U4,118.975,-77.1375,180.0,top
U6,135.725,-76.8625,0.0,top
